District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
Tai Po,"Wang Shing House, Wang Fuk Court",,2486
Tuen Mun,The Providence Garden For Rehab,,2488
Sai Kung,"Kwong Cheong House, Kwong Ming Court",,2489
Sha Tin,"Yue Kwan House, Yue Tin Court",,2491
Tuen Mun,"Sau Tai House, Fu Tai Estate",,2493
Yau Tsim Mong,"Lee Fat Building, 38 Bute Street",,2495
Kwun Tong,"Block 5, Shun Lee Disciplined Services Quarters",,2496
Eastern,"Kam Chun House, Tung Chun Court",,2497
Kwun Tong,"Tat Kai House, Po Tat Estate",,2498
Kwun Tong,"Oi Tat House, On Tat Estate",,2499
Wong Tai Sin,"Choi Wah House, Choi Fai Estate",,2502
Sai Kung,"Yin Ming House, Chung Ming Court",,2503
Wong Tai Sin,"Man Kin House, Tsz Man Estate",,2505
Sha Tin,"Wing Sam House, Lung Hang Estate",,2506
Yau Tsim Mong,Ho On Mansion,,2507
Yau Tsim Mong,Sincere House,,2508
Tsuen Wan,"Sau Shan House, Cheung Shan Estate",,2509
Wong Tai Sin,"Tower 3, Grand View Garden",,2510
Kwun Tong,"Kai Shing House, Kai Yip Estate",,2511
Wong Tai Sin,"Toi Fung House, Fung Tak Estate",,2512
Wong Tai Sin,"Block 7, Tsui Chuk Garden",,2513
Kwai Tsing,"Shing Yat House, Kwai Shing East Estate",,2514
Wan Chai,Po Ming Building,,2522
Kwun Tong,"Ying Shun House, Choi Ying Estate",,2523
Kwun Tong,Hotel COZi Harbour View,,2524
Kwun Tong,"On Wah House, Lok Wa South Estate",,2525
Kwun Tong,"Sau Lai House, Yau Lai Estate",,2526
Kowloon City,"Block 6, Palm Mansions, Phase 4, Whampoa Garden",,2527
Sha Tin,"Mei Mun House, Mei Tin Estate",,2528
Sha Tin,"Tower 3, Granville Garden",,2529
Wong Tai Sin,"Oi Ning House, Tsz Oi Estate",,2530
Central & Western,"Central Terrace, Sai Wan Estate",,2531
Central & Western,"Central Terrace, Sai Wan Estate",,2532
Tsuen Wan,"Shek Lin House, Shek Wai Kok Estate",,2533
Kwai Tsing,"Wang Yu House, Ching Wang Court",,2534
Sai Kung,Holiday Inn Express Hong Kong Kowloon East,,2535
Sai Kung,"Kwong Cheong House, Kwong Ming Court",,2537
Yau Tsim Mong,The Salisbury YMCA of Hong Kong,,2538
Yuen Long,"Hang Tau Tsuen, Ping Shan",,2539
Sha Tin,"Tower 2, Bayshore Towers",,2540
Tuen Mun,Nai Wai,,2541
Yuen Long,Pok Wai Village,,2542
Tuen Mun,"No. 104, 105, 106, 107, 114, 115, G/F, & No. 112-113, Terrace 1, Wong Ka Wai",,2543
Kwun Tong,"Tak Yee House, Tak Tin Estate",,2544
Central & Western,"Block A, Hongway Garden",,2546
Wong Tai Sin,"Choi Yip House, Choi Fai Estate",,2547
North,"Cheung King House, Cheung Wah Estate",,2548
North,Sheung Shui Wai,,2549
Sha Tin,"Kam Ching House, Kam Tai Court",,2550
Sham Shui Po,"Fu Wong House, Fu Cheong Estate",,2551
Yuen Long,"Yiu Chak House, Tin Yiu Estate",,2552
Wan Chai,Hundred City Centre,,2559
Sham Shui Po,190 Tai Nan Street,,2560
Tuen Mun,"Tin Tun House, Tin King Estate",,2562
Wan Chai,Po Ming Building,,2567
Wong Tai Sin,"Tower 1, Aria Kowloon Peak",,2569
Wong Tai Sin,"Oi Fu House, Tsz Oi Court",,2570
